"Table S6. Quasi-likelihood F-tests for NS0794 comparing antibiotic-treated versus untreated conditions, showing log-fold changes (logFC) in gene expression, log-counts per million (logCPM) as normalized read counts, F-statistics, p-values, and FDR-adjusted p-values.",logFC,logCPM,F,PValue,FDR
Mannitol-1-phosphate 5-dehydrogenase,1.365929926,7.906701502,0.798112778,0.418689102,0.99577859
Phosphocarrier protein HPr,-0.33648817,10.21353415,0.797653879,0.418812383,0.99577859
SIS domain-containing protein,1.242080556,4.855687731,0.795631739,0.419356394,0.99577859
DUF368 domain-containing protein,0.624328879,6.596711009,0.79510423,0.419498512,0.99577859
Peptidase M20 domain-containing protein 2,-0.393634231,2.786977293,0.793710432,0.419874484,0.99577859
Protein phosphatase 2C,-0.753569392,7.023467803,0.793304906,0.419983934,0.99577859
Recombinase RecT,-0.420354724,-0.999484176,0.793427645,0.420081419,0.99577859
Maltose 6'-phosphate phosphatase,0.788719883,5.088322151,0.791566428,0.420453898,0.99577859
"Glycine betaine/carnitine/choline ABC transporter, ATP-binding protein OpuCA",-0.401627909,6.944186792,0.791557899,0.420456204,0.99577859
ATP synthase epsilon chain,-0.363877569,8.318281522,0.791116469,0.420575687,0.99577859
Putative pre-16S rRNA nuclease,0.40335106,10.34740118,0.790557703,0.420727016,0.99577859
Outer surface protein,0.497856037,9.635526908,0.787188709,0.421641505,0.99577859
DUF624 domain-containing protein,-0.401222453,1.740026748,0.786923667,0.421718781,0.99577859
tRNA-specific 2-thiouridylase MnmA,-0.492125728,9.398617571,0.785519989,0.422095787,0.99577859
Arginine transport ATP-binding protein ArtM,-0.454792478,7.196291213,0.785429543,0.422120434,0.99577859
"PTS system, mannitol-specific IIA component",1.198556351,3.676092107,0.784898129,0.422265322,0.99577859
DNA polymerase I,-0.361638231,8.171123746,0.782770687,0.422846156,0.99577859
SGNH hydrolase-type esterase domain-containing protein,0.547178082,7.416068361,0.782737193,0.422855313,0.99577859
YibE/F-like protein,0.429922014,3.458220168,0.782645755,0.422880328,0.99577859
Colicin V production family protein,0.551918543,7.010288272,0.779843174,0.423647801,0.99577859
Hemolysin,-0.388671285,6.247059922,0.777882415,0.424186246,0.99577859
Prephenate dehydratase,-0.63780374,6.133988227,0.775872651,0.424739425,0.99577859
Diacylglycerol kinase,-0.670823438,9.051552627,0.774949341,0.424993997,0.99577859
Isochorismatase-like domain-containing protein,-0.548246125,5.98701869,0.769833953,0.426409384,0.99577859
Alpha/beta hydrolase,0.59912486,5.313843788,0.761000093,0.428873734,0.99577859
HTH arsR-type domain-containing protein,0.349236717,7.502756007,0.758259321,0.429643546,0.99577859
Spx/MgsR family RNA polymerase-binding regulatory protein,0.366529438,2.68305214,0.75683561,0.430044464,0.99577859
Lipoprotein,0.403122629,11.15258782,0.755806472,0.430334608,0.99577859
PABS domain-containing protein,0.503703357,4.841870298,0.755755274,0.430349057,0.99577859
Ribosome maturation factor RimP N-terminal domain-containing protein,0.467001432,1.147260415,0.755714702,0.430369477,0.99577859
Enterococcus sRNA 1C,0.40525931,2.555327767,0.751886099,0.431443371,0.99577859
IS256 family ISLgar5 transposase,0.386270679,3.080053063,0.751298402,0.43160999,0.99577859
Protein SprT-like,-0.740768289,5.587173791,0.751025942,0.431687263,0.99577859
Small multidrug resistance protein,-0.493938341,1.042924119,0.750995494,0.431704881,0.99577859
Deoxyadenosine kinase / Deoxyguanosine kinase,0.485690469,9.002662216,0.749232335,0.432196751,0.99577859
DUF4649 domain-containing protein,-0.629147716,3.659459343,0.74884392,0.43230724,0.99577859
Small ribosomal subunit protein uS17,-0.627803232,9.442538075,0.745786329,0.433178683,0.99577859
Tagatose-6-phosphate ketose/aldose isomerase,-0.421409392,6.659141785,0.743750957,0.43376056,0.99577859
Phosphate transport system permease protein,0.905071245,9.070297951,0.740128571,0.434799652,0.99577859
DeoR family transcriptional regulator,1.244899642,-1.312260489,0.740862713,0.434805662,0.99577859
Phenylalanine--tRNA ligase beta subunit,-0.839084397,8.836058942,0.737471052,0.43556485,0.99577859
Major facilitator superfamily (MFS) profile domain-containing protein,-0.426378822,8.147646647,0.737443269,0.435572862,0.99577859
UDP-N-acetylglucosamine 1-carboxyvinyltransferase 2,-0.330993621,7.663408255,0.737338854,0.435602978,0.99577859
3-phosphoshikimate 1-carboxyvinyltransferase,-0.61302904,6.57097429,0.735033592,0.43626884,0.99577859
Cell division protein FtsW,0.324566383,8.483503787,0.734904236,0.436306258,0.99577859
IS30 family transposase,1.133350904,10.97199529,0.73301181,0.436854346,0.99577859
DNA-protecting protein DprA,-0.404285649,3.831642423,0.731165309,0.437390351,0.99577859
Single-stranded DNA-binding protein,-0.375269433,4.777580714,0.731152631,0.437394028,0.99577859
rRNA processing protein,-0.550736691,7.11514315,0.730776207,0.437503442,0.99577859
ImpB/MucB/SamB family protein,0.628880762,6.558505422,0.730373816,0.437620461,0.99577859
Phage tail tape measure protein domain-containing protein,-0.452248161,3.414102485,0.729697565,0.437817265,0.99577859
Serine hydroxymethyltransferase,-0.549146594,8.858898647,0.72954544,0.437861539,0.99577859
Intracellular exo-alpha-(1->5)-L-arabinofuranosidase,-0.588652712,3.222627107,0.729405623,0.437902276,0.99577859
EpaQ family protein,-0.598881561,8.530147114,0.72939092,0.437906535,0.99577859
non-specific serine/threonine protein kinase,-0.803199654,9.348650387,0.728911647,0.438046153,0.99577859
Glucose-6-phosphate 1-dehydrogenase,-0.377955418,9.406122479,0.727511216,0.438454579,0.99577859
ABC transmembrane type-1 domain-containing protein,0.392342581,11.18969798,0.72625743,0.438820827,0.99577859
DUF443 domain-containing protein,0.397089613,6.60768483,0.725752728,0.438968416,0.99577859
3-hydroxy-3-methylglutaryl coenzyme A reductase,-0.5723574,8.577784279,0.723923529,0.439504081,0.99577859
Polyketide cyclase / dehydrase and lipid transport,0.32896713,10.12237805,0.721982706,0.440073741,0.99577859
Global transcriptional regulator CodY,-0.740981655,6.893863027,0.721342579,0.440261924,0.99577859
Transketolase,-0.348034662,10.7862339,0.720131094,0.440618475,0.99577859
PyrR binding site,0.329712894,4.621086339,0.71893655,0.440970561,0.99577859
peptidoglycan glycosyltransferase,-0.606225337,7.755947402,0.715959456,0.441850278,0.99577859
Single-stranded-DNA-specific exonuclease RecJ,-0.38359193,7.709361962,0.715133095,0.442095034,0.99577859
Prepilin-type N-terminal cleavage/methylation domain protein,-0.692482549,9.964460272,0.713504391,0.44257816,0.99577859
tRNA pseudouridine synthase A,-0.566323406,4.382187285,0.713021843,0.44272149,0.99577859
tRNA(Met) cytidine acetate ligase,-0.902016555,6.305650369,0.712816246,0.442782577,0.99577859
Geranyltranstransferase,-0.639813936,5.910326291,0.712724972,0.442809704,0.99577859
ABC transporter ATPase,0.421337385,6.632662757,0.710572916,0.443450173,0.99577859
S-adenosylmethionine synthase,-0.35119823,9.406827446,0.709976941,0.44362784,0.99577859
EbsA protein,0.671528375,7.935951245,0.709075799,0.443896729,0.99577859
Pyruvate dehydrogenase E1 component subunit beta,-0.405699809,10.4126059,0.708259284,0.444140625,0.99577859
Nuclease SbcCD subunit D,0.417166639,7.063910623,0.704798981,0.445176968,0.99577859
Xaa-Pro dipeptidase,0.324085377,9.518469825,0.704008561,0.445414317,0.99577859
Large ribosomal subunit protein uL24,-0.590976634,8.990312204,0.703807576,0.445474707,0.99577859
Hydrolase TatD,-0.386855836,6.454482569,0.701792616,0.446080971,0.99577859
UDP-N-acetylenolpyruvoylglucosamine reductase,-0.370435882,8.014004659,0.7008172,0.446375,0.99577859
Sugar ABC transporter sugar-binding protein,-0.349664462,1.920049802,0.700765827,0.446393767,0.99577859
Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta,-0.450877464,10.55696629,0.698964495,0.446934463,0.99577859
Sugar-phosphatase,-0.60473169,7.120791959,0.698413277,0.447101164,0.99577859
Glucose 1-dehydrogenase,-0.78388284,5.878263798,0.698064912,0.447206577,0.99577859
Transcription antiterminator BglG,-0.420531979,4.639636015,0.695474694,0.447991799,0.99577859
Sce7725 family protein,-0.350932896,4.867875013,0.695283083,0.448049985,0.99577859
Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha,-0.401455426,9.914101833,0.694743626,0.448213877,0.99577859
FMN-dependent NADH:quinone oxidoreductase,-0.380319828,8.794407948,0.694068857,0.448419037,0.99577859
Replication initiation factor,0.352574768,4.824864002,0.693181809,0.448689004,0.99577859
Adenylate kinase,-0.70258227,9.174025474,0.692968414,0.448753991,0.99577859
Flavodoxin domain-containing protein,0.327302651,10.91188507,0.690728837,0.449437105,0.99577859
"Transcriptional regulator of phenolic acid metabolism, PadR family",0.326424766,6.164598936,0.689455218,0.449826441,0.99577859
Elongation factor Ts,-0.800208918,9.59402244,0.689056896,0.449948332,0.99577859
DUF4064 domain-containing protein,-0.472800782,0.116263796,0.689108767,0.449960941,0.99577859
HD/PDEase domain-containing protein,-0.601312608,5.060818504,0.687720921,0.450357606,0.99577859
RNA polymerase sigma-54 factor,0.51099539,6.466918778,0.687714917,0.450359445,0.99577859
Oligopeptide transport ATP-binding protein OppD,0.693085299,10.91569284,0.687395238,0.45045748,0.99577859
Response regulator protein VraR,-0.459645795,5.956374419,0.686760206,0.450652342,0.99577859
Glycerol-3-phosphate cytidylyltransferase,0.34800608,9.031572964,0.686683569,0.450675868,0.99577859
ErfK/YbiS/YcfS/YnhG family protein,0.556130767,8.560914939,0.685395272,0.451071703,0.99577859
AarF/ABC1/UbiB kinase family protein,-0.451391467,6.488182642,0.682140528,0.452074608,0.99577859
Diaminopimelate decarboxylase,0.73717677,8.153960349,0.681779027,0.452186254,0.99577859
UPF0342 protein AKL21_01710,0.327019153,9.746365234,0.681012534,0.452423147,0.99577859
Ribosome-recycling factor,-0.42925088,8.32592079,0.680790895,0.45249169,0.99577859
Putative rRNA methyltransferase YqxC,-0.53058967,6.658881217,0.680141974,0.452692483,0.99577859
tRNA(Ile)-lysidine synthase,0.615445747,7.754011126,0.679852267,0.452782179,0.99577859
Polysaccharide biosynthesis family protein,-0.519289454,8.26025618,0.679011301,0.453042737,0.99577859
Transposase from transposon Tn916,0.340278789,10.77252636,0.677387321,0.453546684,0.99577859
Uncharacterized RNA methyltransferase EF_2706,-0.36089175,6.551270578,0.673518245,0.454751522,0.99577859
multidrug efflux ABC transporter subunit EfrB,-0.682895909,8.0331183,0.669009965,0.45616293,0.99577859
AB hydrolase-1 domain-containing protein,0.930116057,8.024950711,0.665929821,0.457131924,0.99577859
AbrB family transcriptional regulator,0.334698554,7.806296054,0.663851985,0.457787767,0.99577859
GMP reductase,-0.440283363,7.279807494,0.662716338,0.458146961,0.99577859
Beta-lactamase class C-like protein,-0.430935556,4.58019169,0.662479526,0.458221932,0.99577859
Amidases related to nicotinamidase,-0.573618012,7.493663279,0.662354555,0.4582615,0.99577859
Transcription termination/antitermination protein NusG,0.501878211,8.834702694,0.662299542,0.458278922,0.99577859
5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,-0.465786072,7.246991585,0.662261323,0.458291026,0.99577859
UPF0297 protein spr0175,0.361695858,8.788039749,0.662090704,0.458345068,0.99577859
ABC transporter glutamine-binding protein GlnH,0.405388728,7.146541297,0.660840155,0.458741533,0.99577859
Fe/B12 periplasmic-binding domain-containing protein,-0.503378633,3.421880676,0.659115888,0.459289248,0.99577859
DNA mismatch repair protein MutS,-0.610245207,7.638126175,0.658357974,0.459530364,0.99577859
"2',3'-cyclic-nucleotide 2'-phosphodiesterase",0.323977519,6.935010908,0.658002053,0.459643683,0.99577859
Glutathione reductase,-0.694304749,8.315019227,0.656139841,0.460237428,0.99577859
DNA polymerase III subunit gamma/tau,0.397477737,9.427673879,0.655987596,0.460286033,0.99577859
DUF4115 domain-containing protein,0.384160599,9.161787115,0.650899347,0.461916024,0.99577859
Mg2+ cation transporter,-1.162782336,5.604692661,0.650855904,0.461929988,0.99577859
HTH LytTR-type domain-containing protein,0.369442924,7.130603502,0.650740927,0.461966946,0.99577859
Putative hemin transport system permease protein HrtB,0.367026177,8.504023241,0.649662187,0.462313975,0.99577859
Bro-N domain-containing protein,0.48121297,0.642807592,0.647203123,0.463122495,0.99577859
Phosphonate-transporting ATPase,-0.386697283,0.849738496,0.647084242,0.463157397,0.99577859
Phosphotransferase system mannitol/fructose-specific IIA domain (Ntr-type),0.392099161,3.692116167,0.646647058,0.463286544,0.99577859
Beta-phosphoglucomutase,1.131211227,6.616158368,0.645905377,0.463526358,0.99577859
TVP38/TMEM64 family membrane protein,1.090961713,10.89695836,0.643773598,0.464216973,0.99577859
UPF0340 protein EF_1967,-0.625630821,5.374096862,0.64025664,0.46536057,0.99577859
HTH-type transcriptional regulator CzcR,-0.320010005,3.52812597,0.640153258,0.465394278,0.99577859
Esterase,0.529011826,3.224711531,0.639561828,0.465587147,0.99577859
UvrD-like helicase ATP-binding domain-containing protein,-0.315244516,7.140062351,0.639472129,0.465616388,0.99577859
DEAD-box ATP-dependent RNA helicase CshA,0.308183129,10.59124292,0.638718948,0.46586224,0.99577859
Tyr recombinase domain-containing protein,0.301401946,8.099770226,0.636518843,0.466581796,0.99577859
rRNA methylase,-0.603659142,6.573478757,0.632095763,0.468034741,0.99577859
DUF2929 domain-containing protein,0.386161452,9.995126766,0.631605688,0.468196252,0.99577859
Formamidopyrimidine-DNA glycosylase,-0.394210868,6.929794792,0.63004828,0.468710215,0.99577859
Adenine-specific methyltransferase,-0.560974234,9.192399615,0.629525534,0.468882967,0.99577859
Ribokinase,0.772022619,7.991895155,0.629167554,0.469001338,0.99577859
"Phage protein, HK97 gp10 family",-0.481166141,-1.94400275,0.629547586,0.469170197,0.99577859
N-acetyltransferase domain-containing protein,0.443021118,11.27799024,0.627351376,0.469602751,0.99577859
Abc transporter,-0.611190472,1.663175573,0.622582013,0.471193663,0.99577859
DNA translocase FtsK,-0.350470931,10.52796571,0.619747761,0.472136552,0.99577859
ComF family protein,0.66652319,0.328716909,0.61748561,0.472920711,0.99577859
DUF963 domain-containing protein,0.30014562,6.009326293,0.617402864,0.472923192,0.99577859
Transposon DNA-invertase,0.323717058,4.857196009,0.616708909,0.47315647,0.99577859
3-dehydroquinate synthase,-0.505964622,6.900718105,0.61548808,0.473567388,0.99577859
Quinone reductase,-0.721701893,5.970839239,0.615404972,0.473595387,0.99577859
Transcription-repair-coupling factor,-0.394587558,8.111314226,0.614211106,0.473997932,0.99577859
Exodeoxyribonuclease III,-0.316706799,6.950221608,0.611933652,0.474767647,0.99577859
Methionine--tRNA ligase,-0.474273399,10.5801909,0.611705219,0.474844981,0.99577859
Bacterial transcriptional activator domain-containing protein,0.464079631,7.380448057,0.611524057,0.47490633,0.99577859
Phosphate-binding protein PstS 1,0.91357134,8.768397317,0.609402353,0.475625948,0.99577859
UDP kinase,-0.379573334,5.498141439,0.607990656,0.476105906,0.99577859
Small integral membrane protein,-1.134510345,7.067585859,0.607916419,0.47613117,0.99577859
6-phospho-beta-galactosidase,-0.51636556,3.532832743,0.605905165,0.476816646,0.99577859
Transcription regulator PadR N-terminal domain-containing protein,0.542353344,6.165965595,0.604522959,0.477288801,0.99577859
TraA,-0.396110049,3.316573699,0.603496238,0.477640128,0.99577859
Aldo/keto reductase,-0.536724,7.075122803,0.602020979,0.478145761,0.99577859
DUF975 domain-containing protein,-0.377848957,7.740464114,0.601805057,0.478219855,0.99577859
HD domain-containing protein,0.416205567,10.88524005,0.600144247,0.478790498,0.99577859
Arsenical resistance operon transcriptional repressor ArsD,0.68945165,2.187126182,0.599494348,0.479015698,0.99577859
Alpha/beta hydrolase fold-3 domain-containing protein,0.909842331,7.236128753,0.597219202,0.479798696,0.99577859
Replication initiator A N-terminal domain-containing protein,-0.381940802,5.848082405,0.595539878,0.480379361,0.99577859
Methyltransferase type 11 domain-containing protein,0.402316088,0.498303555,0.595232143,0.480500984,0.99577859
Aspartokinase,-0.490827517,6.490688719,0.593908943,0.480944583,0.99577859
Glutamyl-tRNA(Gln) amidotransferase subunit A,-0.432796689,9.032563186,0.589991173,0.482307566,0.99577859
Peptidoglycan synthetase,0.290819328,9.158903893,0.58753025,0.483167514,0.99577859
RpiR family transcriptional regulator,0.661182508,7.421904813,0.586472632,0.483537996,0.99577859
PTS system sorbose-specific iic component,1.269943968,3.056408881,0.586223721,0.483625311,0.99577859
Cysteine desulphurase,-0.333086948,4.155493149,0.585971817,0.483713626,0.99577859
DUF4446 domain-containing protein,0.373430159,5.952209967,0.584966325,0.484066598,0.99577859
Acetate kinase 1,-0.408342722,9.889492305,0.584935078,0.484077574,0.99577859
thymidylate synthase,-0.666698055,5.557628166,0.584204314,0.484334431,0.99577859
Isochorismatase,-0.294592853,5.009397611,0.582058455,0.485090198,0.99577859
D-ribose pyranase,0.898145109,7.014420602,0.581432101,0.485311225,0.99577859
PhzF family phenazine biosynthesis protein,-0.422553492,2.855037089,0.579411467,0.486025627,0.99577859
"Phosphoglucomutase/phosphomannomutase,alpha/beta/alpha domain I family protein",-0.364150989,8.345995167,0.578361162,0.486397721,0.99577859
HAD subfamily IIIA hydrolase,-0.313339236,8.07299084,0.577022947,0.48687265,0.99577859
NADH pyrophosphatase,-0.318280424,2.913973048,0.576027142,0.487226669,0.99577859
Phosphatidic acid phosphatase type 2/haloperoxidase domain-containing protein,-0.469523903,5.623039305,0.574724636,0.487690411,0.99577859
Ferredoxin,0.647048627,5.302392975,0.573969611,0.487959636,0.99577859
QueT transporter,0.295135754,5.998313324,0.573235582,0.488221649,0.99577859
UPF0122 protein SMU_1061,0.659151804,5.944134021,0.57257564,0.48845745,0.99577859
Large ribosomal subunit protein uL15,-0.436123536,9.43324421,0.571850133,0.488716932,0.99577859
Multimodular transpeptidase-transglycosylase,0.320211846,10.21300137,0.569849007,0.489434033,0.99577859
Rod shape-determining protein MreD,0.326485837,7.660679282,0.569421061,0.489587652,0.99577859
Large ribosomal subunit protein uL5,-0.575097606,9.898492412,0.569340877,0.489616446,0.99577859
APC family permease,-0.461114588,6.236628519,0.5687124,0.489842244,0.99577859
Phospho-N-acetylmuramoyl-pentapeptide-transferase,-0.68093156,7.259638102,0.566407901,0.490671932,0.99577859
SsrA-binding protein,-0.317206657,5.8798186,0.563334021,0.491782878,0.99577859
DNA mismatch repair protein HexB,-0.633522011,7.802677721,0.562030534,0.492255455,0.99577859
D-Ala-teichoic acid biosynthesis protein,0.915953023,5.919635918,0.56132337,0.492512206,0.99577859
DUF2187 domain-containing protein,-0.286299649,8.70633557,0.5612622,0.492534427,0.99577859
tRNA-Leu(taa),-1.183270888,1.971812158,0.55788779,0.493766214,0.99577859
S-adenosylmethionine:tRNA ribosyltransferase-isomerase,-0.290287881,8.092302609,0.554406456,0.495037367,0.99577859
Transcriptional repressor NrdR,0.45173961,7.716680554,0.553782001,0.495266581,0.99577859
RNA-binding protein KhpA,-0.483534877,8.987132492,0.552838321,0.495613363,0.99577859
Large ribosomal subunit protein uL22,-0.671735103,9.074171864,0.552610117,0.495697295,0.99577859
Flavoprotein,-0.327071735,6.959821971,0.551695119,0.496034103,0.99577859
V-type sodium ATPase subunit G,0.284657402,6.968292229,0.551072118,0.496263684,0.99577859
Small ribosomal subunit protein bS20,-0.472818392,9.959963049,0.550751452,0.496381933,0.99577859
Lipoyl-binding domain-containing protein,-0.391354539,7.092880474,0.550739989,0.496386161,0.99577859
Stage 0 sporulation A-like protein,0.544282295,7.761366032,0.550487998,0.496479126,0.99577859
ADP-dependent (S)-NAD(P)H-hydrate dehydratase,0.383637238,6.458499094,0.550088758,0.496626484,0.99577859
Cro/Cl family transcriptional regulator,0.335212245,3.753523873,0.546782293,0.497850194,0.99577859
Tryptophan--tRNA ligase,0.274370784,7.762519242,0.546230335,0.498055036,0.99577859
Cystathionine gamma-synthase,0.486689346,8.337725351,0.545554617,0.498306045,0.99577859
Crp/Fnr family transcriptional regulator,-0.423622789,6.645574784,0.54439181,0.498738575,0.99577859
Dihydroxyacetone kinase subunit DhaK,-0.682998283,7.450741528,0.541023092,0.499995809,0.99577859
UPF0358 protein EF_2458,0.363193156,6.906539546,0.540165402,0.500316902,0.99577859
Putative phosphopantothenoylcysteine decarboxylase,-0.401022591,6.088310666,0.539580343,0.500536162,0.99577859
tRNA N6-adenosine threonylcarbamoyltransferase,-0.358675992,7.41806031,0.538130066,0.501080495,0.99577859
Catabolite control protein A,0.466039341,9.100175773,0.537091309,0.501471089,0.99577859
THUMP domain-containing protein,-0.391632529,8.326694987,0.536654,0.501635705,0.99577859
Transcription termination factor Rho,-0.297172948,7.731945766,0.536301281,0.501768557,0.99577859
Amino acid decarboxylase,0.354925668,3.999484745,0.536059293,0.501859748,0.99577859
YfaA protein,0.273355152,6.790075813,0.53231306,0.503275566,0.99577859
Glycine betaine transport ATP-binding protein OpuAA,0.827633018,6.539397642,0.531335294,0.503646395,0.99577859
Flavin prenyltransferase UbiX,0.302287935,3.888418491,0.530827431,0.503839228,0.99577859
"Calcium-translocating P-type ATPase, PMCA-type",-0.358251839,4.806650002,0.526621689,0.505441692,0.99577859
Dihydrodipicolinate synthase/N-acetylneuraminate lyase,-0.267823846,7.411487891,0.526348347,0.505546188,0.99577859
ASCH domain-containing protein,0.313756245,2.380447284,0.523722443,0.50655231,0.99577859
Xanthine/uracil/vitamin C permease,-0.297164748,2.593916035,0.523679961,0.506568601,0.99577859
Uridylate kinase,-0.374616163,7.759774954,0.523395408,0.506677826,0.99577859
Putative multiple sugar transport system permease protein YtcP,-0.323720202,2.606814865,0.523206906,0.506750276,0.99577859
UPF0154 protein AC622_10475,-0.415240663,6.856214198,0.5231682,0.506765106,0.99577859
Isopentenyl-diphosphate delta-isomerase,-0.787871464,6.983837976,0.522371948,0.507071214,0.99577859
Alkaline phosphatase synthesis transcriptional regulatory protein PhoP,0.377037874,7.219132447,0.52203902,0.507199313,0.99577859
tRNA-Ser(cga),0.553075988,3.530210183,0.521277194,0.50749269,0.99577859
Lipopolysaccharide assembly protein A domain-containing protein,-0.313460862,5.78411774,0.518736942,0.508473324,0.99577859
ABC transporter permease protein YufP,-0.381392447,8.138231906,0.516379933,0.509386608,0.99577859
Acyl carrier protein,-0.381904983,10.23902909,0.512246389,0.510996177,0.99577859
CidA/LrgA family protein,0.505295959,2.560042838,0.511069964,0.511456174,0.99577859
Small ribosomal subunit protein uS3,-0.589222276,10.40372478,0.510949962,0.511503089,0.99577859
dTDP-4-dehydrorhamnose reductase,-0.411109765,8.402250327,0.510759941,0.511577473,0.99577859
Ribosomal RNA small subunit methyltransferase,0.287978233,5.462137748,0.510354159,0.511736389,0.99577859
Holliday junction branch migration complex subunit RuvA,0.415275873,6.797233342,0.509422264,0.51210172,0.99577859
Multidrug ABC transporter ATP-binding protein,-0.572484892,9.908556259,0.509020134,0.512259528,0.99577859
Pyridoxal phosphate homeostasis protein,-0.3221096,8.746948791,0.50784424,0.512721545,0.99577859
TatD family hydrolase,-0.463573809,3.810400197,0.507686653,0.512783533,0.99577859
tRNA-Val(tac),-1.412247951,-1.002611685,0.506090855,0.513551018,0.99577859
PTS sorbose transporter subunit IIC,-0.779906819,5.145989569,0.502101591,0.514989921,0.99577859
Small ribosomal subunit protein uS2,-0.667479424,11.5420144,0.501354741,0.51528641,0.99577859
NADP-dependent oxidoreductase domain-containing protein,-0.321733188,8.207115503,0.499859253,0.515881132,0.99577859
Thioredoxin-like fold domain-containing protein,-0.378527129,6.669308116,0.499274446,0.516114073,0.99577859
Transposase,0.271974598,10.68568122,0.497909411,0.516658618,0.99577859
Large ribosomal subunit protein bL33A,0.842978453,6.376134882,0.497279251,0.516910395,0.99577859
XRE family transcriptional regulator,0.276494298,5.811028632,0.496794998,0.517104043,0.99577859
Regulatory protein YycH-like domain-containing protein,-0.643676106,6.522099914,0.495953103,0.517441057,0.99577859
Nucleoside permease NupC,-0.499621158,6.584182372,0.495211432,0.517738318,0.99577859
Flp pilus assembly protein TadB,0.29345077,7.515446363,0.493946903,0.518245935,0.99577859
Type III toxin-antitoxin system ToxN/AbiQ family toxin,0.540115353,8.233081986,0.493920273,0.518256636,0.99577859
Protein translocase subunit SecA,0.264959272,10.30810416,0.493052286,0.518605666,0.99577859
ATP-dependent helicase/nuclease subunit A,-0.267006306,7.530752734,0.493047178,0.518607722,0.99577859
Glutamate/gamma-aminobutyrate antiporter,-0.788703121,4.917949835,0.492361205,0.518883902,0.99577859
Large ribosomal subunit protein uL2,-0.703156557,10.58178204,0.492323451,0.518899109,0.99577859
Ribulose-phosphate 3-epimerase,0.263987457,7.837379131,0.491578231,0.519199495,0.99577859
DUF1700 domain-containing protein,0.341176364,5.928537647,0.489898877,0.519877706,0.99577859
Signal transduction histidine kinase,0.270915585,7.168368198,0.489424011,0.520069806,0.99577859
Uncharacterized HTH-type transcriptional regulator in lacX 3'region,0.446973599,6.077318937,0.488239379,0.520549661,0.99577859
Phage minor structural protein,0.302198917,1.901196693,0.48784743,0.520710025,0.99577859
RepB protein,0.395569146,8.47280724,0.487308634,0.520927303,0.99577859
Long-chain acyl-CoA synthetase,0.270740673,8.010348342,0.484546854,0.522051149,0.99577859
Phosphatase PAP2 family protein,0.59903387,3.769692712,0.484204856,0.52219067,0.99577859
tRNA-Leu(cag),-0.618288728,-0.289182801,0.479512994,0.524155847,0.99577859
PTS system glucose-specific EIICBA component,0.678400625,7.086946813,0.478856201,0.524382435,0.99577859
Radical SAM core domain-containing protein,-0.427296326,7.068768441,0.478615599,0.52448147,0.99577859
UPF0374 protein lmo1687,0.317105438,9.078373966,0.478452319,0.524548699,0.99577859
protein-N(pi)-phosphohistidine--D-mannitol phosphotransferase,-0.377148257,3.590631814,0.478413549,0.524564674,0.99577859
P-type Ca(2+) transporter,-0.468592438,6.180330576,0.477464012,0.524956002,0.99577859
Daunorubicin/doxorubicin resistance ATP-binding protein DrrA,-0.320908512,3.68148242,0.477198881,0.525065387,0.99577859
Bifunctional ligase/repressor BirA,0.251869803,7.660716545,0.47616345,0.525492976,0.99577859
CRM domain-containing protein,-0.4807394,6.84204046,0.472705012,0.52692636,0.99577859
Translation initiation factor IF-1,-0.366489603,9.227572485,0.465263361,0.530037924,0.99577859
YkoY family integral membrane protein,-0.435952085,9.568741103,0.462793138,0.531079148,0.99577859
DNA topoisomerase,0.26799388,9.750645709,0.46150038,0.531625739,0.99577859
Putative membrane protein insertion efficiency factor,0.288729605,4.6556607,0.461282113,0.531718141,0.99577859
CBS domain-containing protein,0.316614309,9.787664427,0.460280058,0.532142766,0.99577859
5-bromo-4-chloroindolyl phosphate hydrolysis protein,0.279617391,8.007196391,0.459640021,0.532414352,0.99577859
Phenylalanyl-tRNA synthetase subunit alpha,0.340880354,3.76305767,0.458970472,0.532698775,0.99577859
"IS66 family element, transposase",-0.250794185,7.588905988,0.458805154,0.532769041,0.99577859
SDR family NAD(P)-dependent oxidoreductase,-0.494721702,5.716034965,0.45805486,0.533088215,0.99577859
Large ribosomal subunit protein bL32,-0.270502229,9.42648378,0.456389045,0.533798263,0.99577859
DUF3899 domain-containing protein,0.592024568,3.619390966,0.454454303,0.53462541,0.99577859
DUF771 domain-containing protein,0.307526091,-0.587112329,0.451999057,0.535737758,0.99577859
Glyoxalase,-0.270165517,8.24649286,0.451457968,0.535911633,0.99577859
FeS cluster biogenesis domain-containing protein,-0.589274133,7.128609609,0.446547941,0.538033293,0.99577859
Phosphoribosyltransferase domain-containing protein,0.443362542,1.348976585,0.445938528,0.538304496,0.99577859
tRNA-Leu(tag),-1.03416876,2.298352965,0.445780549,0.538368995,0.99577859
Zn-finger containing protein,0.259636761,5.858505857,0.444621522,0.538870492,0.99577859
tRNA-Lys(ctt),0.359802564,2.174490698,0.444114313,0.539092668,0.99577859
FtsX-like permease family protein,0.275511078,5.787074345,0.439347535,0.541176464,0.99577859
