"Table S4. Quasi-likelihood F-tests for VRE0008 comparing antibiotic-treated versus untreated conditions, showing log-fold changes (logFC) in gene expression, log-counts per million (logCPM) as normalized read counts, F-statistics, p-values, and FDR-adjusted p-values.",logFC,logCPM,F,PValue,FDR
Glycine--tRNA ligase beta subunit,0.50705118,8.822339069,2.72343471,0.157066978,0.319186662
N6-Mtase domain-containing protein,-0.28897341,8.94207517,2.715802563,0.157544772,0.319863627
5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase,-0.253696306,5.827199186,2.707605701,0.158060264,0.320615821
16S rRNA (Adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA,0.32888284,4.415603313,2.702874622,0.158358912,0.320927181
PTS EIIB type-2 domain-containing protein,0.401017224,3.83024077,2.692094947,0.159042431,0.322017231
SprT family protein,0.359381219,6.006708496,2.682665565,0.159643827,0.32293916
Methyltranfer-dom domain-containing protein,0.820972597,-0.485485174,2.671550141,0.160368417,0.324108383
peptide chain release factor 3,0.342193746,7.393820313,2.663243235,0.160893004,0.324763306
FUSC family protein,-0.264712411,6.484397838,2.661802317,0.160986243,0.324763306
Metallophosphoesterase,-0.340809662,5.204232345,2.654629636,0.161451539,0.325405063
Amino acid permease,-0.304362951,8.421558653,2.650846025,0.161697768,0.325604522
phosphomevalonate kinase,0.523895719,7.020407027,2.640254213,0.162389966,0.326680904
Flavin reductase,0.44568101,7.082052868,2.637692575,0.162558019,0.326680904
Rha family transcriptional regulator,-0.507191139,3.372618458,2.635903413,0.162675566,0.326680904
hydroxymethylglutaryl-CoA synthase,0.32909327,7.579692033,2.63070351,0.163017815,0.327071133
"Phosphotransferase system, mannose/fructose/N-acetylgalactosamine-specific IID component",-1.498290254,12.83504868,2.622401114,0.163566466,0.327874394
16S rRNA (uracil(1498)-N(3))-methyltransferase,0.313901075,6.505894013,2.616707651,0.16394426,0.328067668
V-type ATP synthase subunit D,0.259310999,9.148454258,2.615764381,0.164006974,0.328067668
energy-coupled thiamine transporter ThiT,-0.426440611,4.260602679,2.613266397,0.164173227,0.328067668
ribonuclease HII,0.515190084,5.158786215,2.61107081,0.164319547,0.328067668
Permease,0.283619373,10.26013312,2.609793124,0.164404783,0.328067668
solute:sodium symporter family transporter,-0.412496791,4.748557388,2.600376673,0.165034968,0.329028237
ArpU family transcriptional regulator,-0.798163305,4.334782284,2.592519041,0.16556352,0.329425359
"Arabinogalactan endo-beta-1,4-galactanase",0.383947603,6.529429965,2.590520334,0.16569835,0.329425359
Tetracycline repressor protein class H,-0.273068315,4.438001266,2.589346944,0.165777587,0.329425359
Alpha-N-arabinofuranosidase,0.479913497,5.040677202,2.588569173,0.165830133,0.329425359
Aminoglycoside phosphotransferase,-0.44828315,0.821242683,2.582985296,0.166210817,0.329885202
L17 ribosomal protein downstream element,-0.373210943,3.792422257,2.575723328,0.16670157,0.330562484
"Phage protein, HK97 gp10 family",-0.787007457,3.146598218,2.57018508,0.167079345,0.330910508
tRNA-Tyr(gta),-0.302014644,2.583900408,2.568765297,0.167176408,0.330910508
phosphoribosylglycinamide formyltransferase,-0.579517125,0.75696436,2.564184687,0.167493329,0.331025308
Glycerophosphoryl diester phosphodiesterase,-0.258126656,7.452289716,2.563545282,0.16753384,0.331025308
recombination regulator RecX,-0.308737575,5.112162599,2.556800751,0.167997381,0.331644831
Tyr recombinase domain-containing protein,-0.258007428,7.472278705,2.553458581,0.168227772,0.331701821
DUF871 domain-containing protein,-0.5926586,9.634164522,2.552031368,0.168326297,0.331701821
PhoH domain-containing protein,-0.259832949,8.02593561,2.549406241,0.168507737,0.331763674
Hexapeptide repeat transferase,-0.301927761,6.590188156,2.535930019,0.169443658,0.333309544
DUF4065 domain-containing protein,-0.2788186,4.215299109,2.532984566,0.169649231,0.333417288
VanZ domain-containing protein,-0.2330489,5.402342185,2.526557594,0.170099035,0.333665561
ABC-F type ribosomal protection protein Eat(A),-0.263348267,5.91572667,2.525901599,0.170145044,0.333665561
chaperonin GroEL,-0.277504488,10.3533601,2.524715301,0.170228292,0.333665561
putative heavy metal-binding protein,-0.433763003,6.631761437,2.518210536,0.17068582,0.333972757
KHG/KDPG aldolase,-0.590778121,6.26878645,2.518192135,0.170687117,0.333972757
ATPase,0.351189182,8.187955357,2.507155448,0.171467519,0.335203082
BRCT domain-containing protein,0.250242124,5.52606345,2.502225556,0.171817791,0.335532616
lactaldehyde reductase,-0.328413791,4.7036204,2.50051462,0.171939599,0.335532616
"phosphonate ABC transporter, permease protein PhnE",0.345991742,3.401448144,2.492781806,0.172491703,0.336065258
acylphosphatase,0.33480492,7.047608953,2.49243458,0.172516539,0.336065258
Putative cysteine desulfurase,0.281078625,6.389635622,2.481193592,0.173323884,0.337340763
Regulatory protein MgsR,0.229050981,5.841225622,2.476149274,0.173687964,0.337752057
V-type ATP synthase subunit K,0.230903213,7.748098335,2.471221398,0.174044717,0.337866414
Toxin PIN,-0.973390989,1.548852085,2.471138562,0.174052395,0.337866414
"Oxidoreductase, aldo/keto reductase family protein",0.323099116,9.519137964,2.460922646,0.174793749,0.338662654
Cell division protein DivIVA,0.339245035,9.867272422,2.460227209,0.174844498,0.338662654
Ascorbate-specific phosphotransferase enzyme IIA component,0.260052343,3.323141087,2.458510233,0.174969901,0.338662654
anaerobic ribonucleoside-triphosphate reductase activating protein,-0.499217161,6.374061144,2.457068574,0.175075266,0.338662654
Snf2 family helicase,0.25208939,9.402876007,2.453345538,0.175347839,0.338703562
6-phospho-beta-galactosidase,-0.261511352,9.463013385,2.451569214,0.175478106,0.338703562
DUF4160 domain-containing protein,0.306599051,3.46769385,2.450508378,0.175555985,0.338703562
"Calcium-translocating P-type ATPase, PMCA-type",0.25054624,7.013995166,2.441513766,0.176218194,0.339684766
MFS transporter,-1.167403461,11.12434481,2.435175063,0.176687068,0.340291905
N-acetylmuramic acid 6-phosphate etherase,0.242280477,4.712370166,2.430249948,0.177052638,0.340699202
class 1b ribonucleoside-diphosphate reductase subunit beta,0.698088707,8.806699119,2.419726065,0.177837482,0.341911889
SepM family pheromone-processing serine protease,-0.298926609,6.530634006,2.4119104,0.178423646,0.342524927
ATP-dependent Clp protease ATP-binding subunit ClpX,0.280722879,9.776812937,2.411344767,0.178466176,0.342524927
Superoxide dismutase,0.342797272,10.50264532,2.406396448,0.178838882,0.342942557
50S ribosomal protein L16,-0.730104952,8.921857637,2.38734188,0.180284732,0.345415547
phospho-N-acetylmuramoyl-pentapeptide-transferase,0.280946294,7.710036966,2.373768024,0.181325147,0.346701407
3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ,0.272783411,9.40712096,2.373044586,0.181380844,0.346701407
Serine/threonine exchanger SteT,0.303478951,4.395175711,2.371901857,0.181468875,0.346701407
N-acetylneuraminate synthase,-0.44463375,8.181835804,2.370279932,0.181593921,0.346701407
Metal-dependent carboxypeptidase,0.301643616,9.639990405,2.36838854,0.181739905,0.346701407
type I glutamate--ammonia ligase,0.592315925,8.617862472,2.355915344,0.182706942,0.347701922
Putative alpha-N-arabinofuranosidase 1,0.553771802,5.836239593,2.354943461,0.182782607,0.347701922
head-tail connector protein,-0.299618755,2.867421439,2.35388085,0.182865425,0.347701922
Aldose 1-epimerase,-1.207724372,11.73132956,2.353521267,0.182893413,0.347701922
prephenate dehydratase,0.259182334,5.130759446,2.346480124,0.183443455,0.348404272
Cell division protein FtsI,0.283714504,10.67517625,2.344762367,0.183578009,0.348404272
"BRO family, N-terminal domain protein",-0.398743075,0.940030183,2.340250796,0.183934649,0.348781739
DUF4845 domain-containing protein,-0.271738582,3.395181535,2.32609981,0.185049255,0.350594604
Mor domain-containing protein,-0.867470294,-2.16310616,2.326229041,0.185297112,0.350639783
Spx/MgsR family RNA polymerase-binding regulatory protein,0.388532001,6.477395334,2.321804684,0.185390279,0.350639783
Site-specific DNA recombinase SpoIVCA/DNA invertase PinE,-0.224642138,4.718832625,2.319689276,0.185558587,0.35065815
recombinase RecA,-0.24439296,9.731888009,2.317431971,0.185738426,0.350698258
Phenylalanyl-tRNA synthetase subunit alpha,0.320892964,3.711851671,2.312817659,0.186106859,0.350827272
DNA helicase UvrA,0.278725506,5.908688421,2.312601905,0.186124102,0.350827272
"Phosphotransferase system, mannose/fructose/N-acetylgalactosamine-specific IIC component",-1.49828843,11.87667193,2.306958077,0.186576243,0.351379961
RNA-binding protein,0.282674379,9.621963853,2.303663029,0.186840962,0.351579036
DNA repair exonuclease,-0.305052783,6.620316645,2.294494106,0.187580483,0.352670449
Outer membrane protein assembly factor BamE,-0.237071247,5.24000444,2.288725303,0.188047968,0.352957329
acetyl-CoA carboxylase biotin carboxylase subunit,0.302334653,11.75578989,2.287305183,0.18816331,0.352957329
Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase,-0.276274514,3.414253663,2.286706534,0.188211981,0.352957329
3-oxoacyl-[acyl-carrier-protein] reductase,0.25215663,9.781485889,2.280335973,0.188730863,0.353630456
tRNA dihydrouridine synthase DusB,0.421876874,6.852272909,2.274492123,0.189208707,0.354225615
"Na dependent nucleoside transporter, NupC family",-0.425459982,4.134629071,2.267497244,0.189783013,0.355000204
cell division protein FtsA,0.338770624,9.775452485,2.26108974,0.190311327,0.355687527
ribosome biogenesis GTPase YqeH,0.341059853,8.947555973,2.25156226,0.191100901,0.356861564
glycine--tRNA ligase subunit alpha,0.433500923,6.46824314,2.243124248,0.191804209,0.357872664
heme ABC exporter ATP-binding protein CcmA,0.405295617,10.38127075,2.230773048,0.192840555,0.359502923
myo-inosose-2 dehydratase,-0.450126009,4.261212385,2.222444577,0.193544024,0.360405539
Pectinesterase,-0.285797952,1.668692266,2.220379256,0.193719907,0.360405539
AAA-31 domain-containing protein,-0.214303013,6.474570191,2.219263035,0.193813743,0.360405539
tRNA 2-thiouridine(34) synthase MnmA,-0.234724275,7.490409982,2.211713047,0.19445603,0.361296036
excinuclease ABC subunit UvrA,0.23428752,9.531064071,2.201630377,0.195318668,0.362594101
DUF1643 domain-containing protein,-0.910582549,-1.380160796,2.198258956,0.195677213,0.362954965
Prevent-host-death protein,-0.322883608,5.67589749,2.185885887,0.196677012,0.364503666
inositol 2-dehydrogenase,-0.434414279,4.386581356,2.183289452,0.196902356,0.36461567
Lactate dehydrogenase,0.325707922,2.747810886,2.17143149,0.197936368,0.36622369
Periplasmic binding protein,-0.373931497,2.726180688,2.160565592,0.198890887,0.367682066
IS1182 family transposase,0.403806733,-0.529972088,2.157813517,0.199144739,0.36784379
Rho-N domain-containing protein,-0.456586395,-0.262817559,2.138888794,0.200825296,0.370430467
DUF1801 domain-containing protein,0.34822512,4.825123085,2.138164281,0.200880204,0.370430467
DUF4352 domain-containing protein,-0.407852018,10.3243177,2.134108157,0.201243543,0.370791228
30S ribosomal protein S1,0.27824748,11.47016399,2.122469845,0.202291484,0.372411716
deoxyribonuclease IV,-0.393304027,5.865782008,2.109501965,0.203468655,0.374266062
Phage antirepressor,0.502576484,1.896935854,2.10765455,0.203637301,0.374266062
DUF3298 domain-containing protein,-0.293403936,3.846689176,2.099989255,0.204338631,0.375243118
phosphoribosylformylglycinamidine synthase subunit PurS,-1.366967588,-2.100477964,2.100967265,0.204581612,0.375377548
"Transcriptional regulator, AraC family",0.26596197,6.360130563,2.094461798,0.204846651,0.375552194
PTS glucose transporter subunit IIA,0.347451934,0.700680319,2.091490059,0.205123456,0.375748104
Glyoxylate/hydroxypyruvate reductase B,-0.294354349,8.339299094,2.087447109,0.205494064,0.376063198
Peptidase,0.24611053,9.389076692,2.085917457,0.205635643,0.376063198
competence/damage-inducible protein A,-0.209016803,7.035101512,2.07487407,0.20666207,0.377627965
YtxH domain-containing protein,0.24888355,8.18459929,2.071169583,0.207008081,0.377947867
hypoxanthine phosphoribosyltransferase,-0.211453775,6.498191628,2.064363989,0.207645982,0.378321108
ASCH domain-containing protein,0.315183289,1.280477982,2.06393306,0.207688066,0.378321108
Phage head-tail connector protein,-0.53212041,-1.471188858,2.064128507,0.207725837,0.378321108
Aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme,-0.280960679,8.204996545,2.05656766,0.208380327,0.378954055
BtrH-N domain-containing protein,-0.269043968,3.412210824,2.055411662,0.208489555,0.378954055
6-phosphogluconolactonase,-0.311201392,8.783652274,2.05421032,0.208603124,0.378954055
1-acyl-sn-glycerol-3-phosphate acyltransferase,-0.223874851,5.530254986,2.051332877,0.208875556,0.378954055
DUF1064 domain-containing protein,-0.700411643,3.137089322,2.050066287,0.208995672,0.378954055
Phage-rep-org-N domain-containing protein,-0.372557282,1.270362423,2.048968836,0.20910174,0.378954055
malonate decarboxylase subunit alpha,0.55179775,1.787144007,2.043010423,0.209667605,0.379453522
PadR family transcriptional regulator,-0.35245837,7.406937054,2.042033266,0.209759639,0.379453522
YopX family protein,-0.758057375,3.677265205,2.040644014,0.209892201,0.379453522
Sugar ABC transporter permease,0.495597278,2.934142297,2.037471634,0.210195354,0.379504273
O-antigen ligase RfaL,-0.395848434,-0.166678485,2.036847759,0.210263561,0.379504273
Ribosomal-L18e/L15P domain-containing protein,0.281294846,5.197238177,2.031760126,0.210742732,0.380058874
DUF4767 domain-containing protein,-0.274684433,6.067171243,2.027450192,0.211157205,0.380495991
DUF2130 domain-containing protein,-0.283422925,4.786356287,2.021813433,0.211701104,0.381165425
ABC transporter membrane-spanning permease,-0.238513675,8.751818582,2.015259061,0.212336156,0.381997755
BAX inhibitor (BI)-1/YccA family protein,0.206280072,7.824090325,2.012847182,0.212570555,0.382108534
ABC transporter ATP-binding protein/permease,-0.215336555,8.155959485,2.010957253,0.212754496,0.382128506
YopX domain-containing protein,0.343241182,8.602374378,2.006895911,0.213150574,0.382246291
RDD domain-containing protein,-0.23887958,6.40504125,2.006739578,0.213165842,0.382246291
30S ribosomal protein S3,-0.709666282,10.17802659,1.999257599,0.213898461,0.383249187
DUF2479 domain-containing protein,-0.440941143,6.142871098,1.996741958,0.214145627,0.383381361
Recombinase family protein,-0.204615137,7.0628618,1.991954812,0.214617143,0.383914647
Tox-REase-5 domain-containing protein,-0.370300452,0.621734216,1.984103221,0.215397109,0.384776069
CorA-like protein,0.255836111,7.624720358,1.983569854,0.215446754,0.384776069
3-octaprenyl-4-hydroxybenzoate carboxy-lyase,-0.242313811,4.313741031,1.975783668,0.2162214,0.385847873
Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit MurT,0.252137319,7.77359742,1.964143821,0.217387173,0.387344754
50S ribosomal protein L22,-0.730828211,8.815517296,1.963191548,0.217482961,0.387344754
"DNA-binding transcriptional regulator, XRE-family HTH domain",-0.273976893,1.774913955,1.962177981,0.217585791,0.387344754
ACP S-malonyltransferase,0.229515657,9.946643709,1.95359804,0.218451463,0.388461218
PTS-EIIC domain-containing protein,-0.377257123,8.193089837,1.952484056,0.21856434,0.388461218
thiamine diphosphokinase,-0.221496235,7.228615746,1.948561061,0.218962536,0.38885636
tRNA-Ile2(cat),-0.632938492,5.925459938,1.933644205,0.220486545,0.391248597
LacI family DNA-binding transcriptional regulator,-1.085355206,9.639846721,1.924904934,0.221386756,0.392530969
Glycosyltransferase family 1 protein,0.44750162,0.251917016,1.919333058,0.221967762,0.392779324
Amino acid ABC transporter ATP-binding protein,0.762924056,7.36843428,1.918533526,0.222046515,0.392779324
M3 family oligoendopeptidase,-0.264089997,8.7899853,1.918405798,0.222059772,0.392779324
aminoacyl-tRNA hydrolase,-0.223022365,4.929418718,1.913584928,0.222560968,0.393351159
DUF1211 domain-containing protein,-0.221198078,5.212108315,1.910779651,0.22285339,0.393553391
Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase,-0.39159323,3.56263183,1.903636919,0.223600555,0.394230551
DUF2651 domain-containing protein,-0.289536662,3.842177336,1.902201306,0.22375117,0.394230551
50S ribosomal protein L35,-0.441617459,7.592276478,1.901016706,0.22387556,0.394230551
ribonuclease Z,0.192365728,6.967812992,1.899514292,0.224033482,0.394230551
trimethoprim-resistant dihydrofolate reductase DfrF,0.331704451,8.275345005,1.898087443,0.224183615,0.394230551
TVP38/TMEM64 family membrane protein,-0.253204335,7.937557181,1.896919062,0.224306663,0.394230551
bifunctional acetaldehyde-CoA/alcohol dehydrogenase,0.761686016,11.77415545,1.891700228,0.22485752,0.394884812
Extracellular solute-binding protein,-0.245686247,4.30431638,1.88887481,0.225156596,0.395096217
Cysteine desulphurase,0.200673906,5.051923592,1.873359487,0.226809524,0.397681092
Flp family type IVb pilin,-0.449963179,2.286398749,1.869619106,0.227211122,0.398069564
signal recognition particle-docking protein FtsY,0.299618757,8.256724504,1.862137719,0.22801636,0.399164031
Peptidase U32,-0.29014395,6.880241715,1.858126812,0.228450039,0.399606833
Antirestriction protein ArdA,0.291644389,1.210164919,1.853953671,0.228904155,0.40002441
Flagellar motor switch protein,-0.251101798,3.218131704,1.852591345,0.229050612,0.40002441
50S ribosomal protein L21,-0.420815558,9.485201687,1.84799277,0.229551294,0.400582409
molecular chaperone DnaK,-0.277961845,11.20846168,1.842176099,0.230186976,0.401271053
HD domain protein,-0.224933594,7.893543793,1.841063259,0.230308894,0.401271053
competence type IV pilus minor pilin ComGF,0.442904268,-1.052664573,1.839058336,0.230550448,0.401375623
16S rRNA (cytidine(1402)-2'-O)-methyltransferase,-0.207542124,4.916043744,1.836024042,0.230862184,0.401602116
type B 50S ribosomal protein L31,-0.270473255,9.38564886,1.831350768,0.231377071,0.402181371
ThrE domain-containing protein,-0.211378336,6.316269547,1.8215056,0.232467429,0.40375922
5-(carboxyamino)imidazole ribonucleotide synthase,-0.270701924,5.509352722,1.806283448,0.23416851,0.406394487
Folate family ECF transporter S component,0.204607814,8.706705236,1.797787008,0.235126118,0.407736351
Shikimate kinase,0.236488387,4.157219926,1.789331281,0.23608499,0.409078301
30S ribosomal protein S2,-0.316088125,10.40141125,1.785838988,0.236482719,0.409446586
Arginine/ornithine antiporter,-0.221614076,7.045055374,1.781965071,0.236925094,0.409891536
HAD hydrolase-like protein,-0.341935006,0.418850831,1.772193697,0.238050668,0.411010413
DUF3173 domain-containing protein,0.289542572,1.524122496,1.771951952,0.238075756,0.411010413
V-type ATP synthase subunit G,-0.252783166,7.195317718,1.769953001,0.238304723,0.411010413
flavocytochrome c,0.315870367,6.736434479,1.76986045,0.2383154,0.411010413
Citrate transporter,-0.462532075,8.118158345,1.75003374,0.240619288,0.414660364
THF riboswitch,0.186687789,7.21533738,1.735574537,0.242320667,0.41726713
preprotein translocase subunit SecA,0.213934392,9.965337497,1.723027757,0.243811744,0.419494677
purine-nucleoside phosphorylase,0.330199471,10.08756014,1.721504275,0.243993738,0.419494677
GTP cyclohydrolase,0.243831547,8.473582676,1.719058492,0.244286338,0.419671401
DUF4115 domain-containing protein,-0.204240479,8.912120408,1.714269912,0.244860751,0.420331616
Plant-all-beta domain-containing protein,-0.201077764,7.365794723,1.699832052,0.246605033,0.422997462
DUF502 domain-containing protein,0.189397794,6.125063996,1.689870255,0.24781951,0.424751114
DNA distortion polypeptide 3,0.313307474,3.355497379,1.679265491,0.249122347,0.426653377
DNA helicase RecQ,0.220189298,6.536594563,1.675088396,0.249638344,0.427206175
hypothetical protein,0.240436699,10.36573776,1.654802324,0.252167503,0.43120058
Response regulator protein VraR,0.226273602,6.518182158,1.651323805,0.252605082,0.431536262
ErfK/YbiS/YcfS/YnhG family protein,-0.237287336,7.384460302,1.650140754,0.252754165,0.431536262
Glycosyl transferase,-0.218622779,10.38651584,1.645171696,0.253381805,0.43217595
thymidine kinase,-0.203934689,5.2912595,1.644081946,0.253519768,0.43217595
Transport permease protein,-0.295380543,5.925586004,1.640521089,0.253971365,0.432388294
Cell division protein,0.292049787,6.567004017,1.638841606,0.254184785,0.432388294
glycerol kinase GlpK,0.454447403,12.22471746,1.638478057,0.254231019,0.432388294
UDP-N-acetylglucosamine 2-epimerase,-0.33163266,8.00859554,1.633888687,0.254815763,0.433049694
bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR,-0.315323343,3.255895068,1.631561275,0.255113105,0.433222024
LCP family protein,-0.246846712,7.878090212,1.625193359,0.255929269,0.434113413
oxidoreductase,-0.237585778,6.983775308,1.6244041,0.256030706,0.434113413
Pectate disaccharide-lyase,-0.191726189,4.701500222,1.621850356,0.256359337,0.434337543
ATP-dependent Clp endopeptidase proteolytic subunit ClpP,-0.218109331,8.553081288,1.619149015,0.256707654,0.434492349
Zn-dependent protease,0.249386283,9.473280513,1.617082748,0.25697457,0.434492349
Manganese ABC transporter substrate-binding lipoprotein,-0.232077958,5.349091334,1.61624946,0.257082333,0.434492349
"Cobyrinic acid a,c-diamide synthase",-0.341095381,7.235365365,1.615056214,0.257236764,0.434492349
DUF4178 domain-containing protein,0.270917217,3.093488856,1.611208389,0.257735738,0.435002837
Putative organic hydroperoxyde resistance protein,0.20856298,5.225449404,1.608808127,0.258047708,0.435197165
IMP dehydrogenase,0.336849315,8.031203671,1.598214072,0.259431626,0.437197656
CAAX protease family protein,0.258249236,8.152278224,1.594070099,0.259976033,0.437781423
bifunctional glutamate--cysteine ligase GshA/glutathione synthetase GshB,0.413335595,8.495068332,1.591534856,0.260309954,0.438010128
HTH-Tnp-ISL3 domain-containing protein,-0.235555615,2.053837112,1.589853273,0.260532509,0.438051237
glucose-1-phosphate thymidylyltransferase RfbA,-0.186993761,8.575246511,1.587302123,0.26086891,0.438283557
IS3 family transposase,-0.210741323,5.951831457,1.581409866,0.261650065,0.439159073
Regulatory protein,0.210869431,4.914339362,1.580377684,0.261787272,0.439159073
D-3-phosphoglycerate dehydrogenase,0.188112857,6.133033326,1.575641344,0.262418272,0.43988385
Ribosomal-processing cysteine protease Prp,-0.417179643,9.028997843,1.571277119,0.263001751,0.440527933
Histidinol dehydrogenase,0.212414277,4.059913363,1.565742743,0.263744531,0.441437666
diacylglycerol kinase,0.224700811,8.61631538,1.562290072,0.264209533,0.44188145
Glycoside hydrolase 105 family protein,-0.401672848,2.300278274,1.558753126,0.26468757,0.442221987
DNA polymerase III subunit gamma/tau,-0.187265187,8.263191204,1.557821916,0.264813166,0.442221987
6-phospho-beta-glucosidase GmuD,-0.33327062,8.68670514,1.555481184,0.265130232,0.442417315
DUF554 domain-containing protein,-0.289842535,1.960511229,1.55304156,0.265462032,0.442636918
AP endonuclease,-0.183767854,4.629364588,1.551434506,0.265679749,0.442666108
UMP kinase,-0.239106091,7.192869379,1.549626256,0.265925858,0.442742525
DUF1934 domain-containing protein,0.177681907,5.458540432,1.5380383,0.267511337,0.445047078
"Ferrichrome ABC transporter, ATP-binding protein FhuC",-0.257605034,2.988218436,1.532366758,0.268292624,0.445911473
FtsK/SpoIIIE family cell division protein,0.250923282,3.385196197,1.531341082,0.26843427,0.445911473
Band-7-1 domain-containing protein,0.25332203,10.0544065,1.527572728,0.268955702,0.446442235
Dihydrolipoamide dehydrogenase,0.28128941,7.767646287,1.524972441,0.269316421,0.446705631
CAT RNA binding domain protein,0.326973332,2.902119992,1.517618773,0.270340587,0.448068244
DUF4134 domain-containing protein,0.407936446,-0.860077901,1.5142132,0.270832554,0.448547398
division/cell wall cluster transcriptional repressor MraZ,-0.189042838,7.261105122,1.50346799,0.272328184,0.450686838
"Cold shock protein, CspA family",-0.291475233,12.16833009,1.500764466,0.27271047,0.450981937
tRNA pseudouridine(55) synthase TruB,0.199966591,4.746760891,1.494030304,0.273666289,0.451793188
ribose-phosphate diphosphokinase,0.216696741,10.27224586,1.492662709,0.273861025,0.451793188
peptide chain release factor 1,0.238307092,6.743047443,1.491185179,0.274071656,0.451793188
Multiple sugar-binding transport ATP-binding protein MsmK,-0.330276782,10.06617717,1.490226559,0.274208446,0.451793188
Putative N-acetylmannosamine-6-phosphate 2-epimerase,0.227846657,3.692529505,1.490126562,0.274222731,0.451793188
Copper ABC transporter permease,0.210976565,9.746500288,1.478584882,0.275878059,0.453954381
DUF1803 domain-containing protein,-0.237572929,4.503828343,1.478119485,0.275945133,0.453954381
peptide chain release factor 2,0.187643103,7.421178368,1.468750192,0.277300723,0.455845278
PTS system fructose-specific EIIABC component family protein,0.202230989,4.450977908,1.463134453,0.278118153,0.456849359
phosphate acyltransferase PlsX,-0.190044911,9.336539498,1.455304928,0.27926402,0.457751552
PTPS-related domain-containing protein,-0.213651444,6.838794774,1.453202975,0.279572883,0.457751552
bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase,0.201179689,5.589181266,1.45173257,0.27978926,0.457751552
translation elongation factor Ts,-0.26798704,8.913372037,1.451355303,0.279844817,0.457751552
DNA polymerase III subunit delta',-0.17361677,6.476879584,1.45105542,0.279888992,0.457751552
Regulatory protein Spx,0.306019845,5.978129869,1.449336599,0.28014239,0.457751552
"L-serine ammonia-lyase, iron-sulfur-dependent, subunit alpha",0.167641648,6.607799406,1.44767633,0.280387491,0.457751552
FADH(2)-oxidizing methylenetetrahydrofolate--tRNA-(uracil(54)-C(5))-methyltransferase TrmFO,0.420365491,7.592907826,1.446840173,0.280511056,0.457751552
Nitroreductase domain-containing protein,0.173693527,6.576041638,1.44601661,0.280632842,0.457751552
Sodium:proton antiporter,0.205305641,7.90220825,1.444140809,0.280910534,0.457751552
tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE,-0.18657223,4.451827678,1.44390986,0.280944756,0.457751552
Methyltransf-25 domain-containing protein,0.336758612,3.973690641,1.435817739,0.282147806,0.459373195
Alkaline-shock protein,0.203419154,8.724065463,1.4306144,0.282925578,0.460300555
galactokinase,-1.052932942,11.69977677,1.42236851,0.284164944,0.461976979
rhamnulokinase,-0.352754125,3.916577507,1.419940727,0.284531448,0.462035534
SIS domain-containing protein,-0.357756459,2.626266427,1.419362364,0.284618904,0.462035534
isoleucine--tRNA ligase,-0.285642154,9.260201692,1.410599854,0.285948367,0.463853147
ribosome maturation factor RimP,-0.178601068,6.071250165,1.408746052,0.28623087,0.463971007
Putative multidrug resistance ABC transporter ATP-binding/permease protein YheI,-0.277884129,9.914200357,1.404546362,0.286872464,0.464426321
Glutamine ABC transporter substrate-binding protein,0.194177775,5.871930719,1.404158272,0.286931866,0.464426321
Acetophenone carboxylase alpha subunit,-0.417124521,9.003440528,1.399112809,0.287705865,0.465153488
2-hydroxycarboxylate transporter family protein,0.240408969,1.99873286,1.398490847,0.287801886,0.465153488
FAD-containing oxidoreductase,0.253633614,6.524079484,1.391233304,0.288921106,0.466621304
Ferredoxin,-0.201458938,3.826076209,1.388327116,0.289371338,0.46700732
DNA-directed RNA polymerase subunit epsilon,-0.19839068,5.454115417,1.385053073,0.289879846,0.467486755
Structural protein,0.180725027,3.926663517,1.378832695,0.290849811,0.468709134
"PTS system, mannose/fructose/sorbose family, IIA component",0.380727365,2.962658077,1.377165103,0.291110716,0.468787905
DUF421 domain-containing protein,-0.191193797,5.944997863,1.371197111,0.292047341,0.46995391
30S ribosomal protein S19,-0.595597995,9.240147951,1.369052109,0.292385133,0.470155294
DNA relaxase,-0.195846564,4.331228047,1.366711466,0.292754431,0.47040701
DUF975 domain-containing protein,-0.201392527,8.227912246,1.361184102,0.293629386,0.471413003
DctM domain-containing protein,-0.354345435,3.647189712,1.360065713,0.293806928,0.471413003
transcription elongation factor GreA,-0.184576956,6.510605607,1.355228004,0.294576771,0.472305469
ribulose-phosphate 3-epimerase,-0.211750828,7.652370576,1.342130559,0.296676872,0.475284075
Initiation-control protein YabA,-0.177398576,4.876963147,1.340967726,0.296864454,0.475284075
HTH-type transcriptional regulator GmuR,0.163853985,5.629203375,1.326970644,0.299136942,0.478575816
Murein DD-endopeptidase MepM,0.397297162,2.727249925,1.32155232,0.300023956,0.479647842
Transcription antitermination protein NusB,0.183028867,8.513140946,1.319674234,0.300332324,0.479793908
